slug,distillery,name,image_url,
crown-royal-northern-harvest-rye-blended-canadian-whiskey-0082000775874,Crown Royal,Northern Harvest Rye Blended Canadian Whiskey,https://bcazowundzyzesxxddnr.supabase.co/storage/v1/object/public/bottles/expressions/crown-royal-northern-harvest-rye-blended-canadian-whiskey-0082000775874.jpg,
cutty-sark-blended-scotch-whisky-5010493000765,Cutty Sark,Blended Scotch whisky,,
cutty-sark-cutty-sark-whisky-40-5010504100057,Cutty Sark,Cutty Sark Whisky 40%,,
dalmore-dalmore-12-year-old,Dalmore,Dalmore 12 Year Old,https://bcazowundzyzesxxddnr.supabase.co/storage/v1/object/public/bottles/expressions/dalmore-15-standard.jpg,
dalmore-12-standard,Dalmore,Dalmore 12 Year Old,https://bcazowundzyzesxxddnr.supabase.co/storage/v1/object/public/bottles/expressions/dalmore-15-standard.jpg,
dalmore-dalmore-15-year-old,Dalmore,Dalmore 15 Year Old,https://bcazowundzyzesxxddnr.supabase.co/storage/v1/object/public/bottles/expressions/dalmore-15-standard.jpg,
dalmore-15-standard,Dalmore,Dalmore 15 Year Old,https://bcazowundzyzesxxddnr.supabase.co/storage/v1/object/public/bottles/expressions/dalmore-15-standard.jpg,
dalmore-dalmore-18-year-old,Dalmore,Dalmore 18 Year Old,https://bcazowundzyzesxxddnr.supabase.co/storage/v1/object/public/bottles/expressions/dalmore-15-standard.jpg,
dimple-blended-scotch-whisky-15-years-5000281003337,Dimple,Dimple Blended Scotch Whisky 15 years,,
drambuie-drambuie-5010391100703,Drambuie,Drambuie,https://bcazowundzyzesxxddnr.supabase.co/storage/v1/object/public/bottles/expressions/drambuie-drambuie-5010391100703.jpg,
dubliner-the-dubliner-5390424120428,Dubliner,The Dubliner,https://bcazowundzyzesxxddnr.supabase.co/storage/v1/object/public/bottles/expressions/dubliner-the-dubliner-5390424120428.jpg,
dun-mhor-the-original-3471940000547,Dun Mhor,Dun Mhor The Original,https://bcazowundzyzesxxddnr.supabase.co/storage/v1/object/public/bottles/expressions/dun-mhor-the-original-3471940000547.jpg,
dun-mhor-dun-mhor-the-original-3471940000547,Dun Mhor,Dun Mhor The Original,https://bcazowundzyzesxxddnr.supabase.co/storage/v1/object/public/bottles/expressions/dun-mhor-the-original-3471940000547.jpg,
east-1810-red-wine-cask-finish-5013967016507,East 1810,Red wine cask finish,,
four-roses-single-barrel,Four Roses,Four Roses Single Barrel,https://bcazowundzyzesxxddnr.supabase.co/storage/v1/object/public/bottles/expressions/four-roses-single-barrel.jpg,
four-roses-small-batch,Four Roses,Four Roses Small Batch,https://bcazowundzyzesxxddnr.supabase.co/storage/v1/object/public/bottles/expressions/four-roses-small-batch.jpg,
freimeister-kollektiv-whiskey-094-4260509620345,Freimeister kollektiv,Whiskey 094,,
galleg-whisky-de-bretagne-3233990004513,Galleg,Whisky de Bretagne,,
glen-grant-12-standard,Glen Grant,Glen Grant 12 Year Old,https://bcazowundzyzesxxddnr.supabase.co/storage/v1/object/public/bottles/expressions/glen-grant-18-standard.jpg,
glen-grant-18-standard,Glen Grant,Glen Grant 18 Year Old,https://bcazowundzyzesxxddnr.supabase.co/storage/v1/object/public/bottles/expressions/glen-grant-18-standard.jpg,
glen-grant-glen-grant-ob-10yo-40-alc-0080432402979,Glen Grant,Glen Grant Ob 10yo 40%alc.,https://bcazowundzyzesxxddnr.supabase.co/storage/v1/object/public/bottles/expressions/glen-grant-18-standard.jpg,
glen-moray-glen-moray-whisky-40-5010494508307,Glen Moray,Glen Moray Whisky 40%,,
glen-moray-speyside-single-malt-scotch-whisky-5060116322255,Glen Moray,Speyside single malt Scotch whisky,,
glen-scotia-15-standard,Glen Scotia,Glen Scotia 15 Year Old,https://bcazowundzyzesxxddnr.supabase.co/storage/v1/object/public/bottles/expressions/glen-scotia-victoriana-standard.jpg,
glen-scotia-victoriana-standard,Glen Scotia,Glen Scotia Victoriana,https://bcazowundzyzesxxddnr.supabase.co/storage/v1/object/public/bottles/expressions/glen-scotia-victoriana-standard.jpg,
glen-terence-scotch-whisky-pur-malt-3560032382460,Glen Terence,Scotch whisky pur malt,https://bcazowundzyzesxxddnr.supabase.co/storage/v1/object/public/bottles/expressions/glen-terence-scotch-whisky-pur-malt-3560032382460.jpg,
glen-crinan-glen-crinan-3250392272517,Glen crinan,Glen crinan,https://bcazowundzyzesxxddnr.supabase.co/storage/v1/object/public/bottles/expressions/wisky-3250392258634.jpg,
glen-crinan-glen-crinan-3250392272494,Glen crinan,Glen crinan,https://bcazowundzyzesxxddnr.supabase.co/storage/v1/object/public/bottles/expressions/wisky-3250392258634.jpg,
wisky-3250392258634,Glen crinan,Wisky,https://bcazowundzyzesxxddnr.supabase.co/storage/v1/object/public/bottles/expressions/wisky-3250392258634.jpg,
glendronach-12-original,Glendronach,GlenDronach 12 Original,https://bcazowundzyzesxxddnr.supabase.co/storage/v1/object/public/bottles/expressions/glendronach-18-allardice.jpg,
glendronach-18-allardice,Glendronach,GlenDronach 18 Allardice,https://bcazowundzyzesxxddnr.supabase.co/storage/v1/object/public/bottles/expressions/glendronach-18-allardice.jpg,
glendronach-the-glendronach-original-12-year-old-5060088791646,Glendronach,The Glendronach Original 12 Year Old,https://bcazowundzyzesxxddnr.supabase.co/storage/v1/object/public/bottles/expressions/glendronach-18-allardice.jpg,
glenfiddich-15-years-old-distillery-edition-single-malt-scotch-whisky-5010327325224,Glenfiddich,15 Years Old Distillery Edition Single Malt Scotch Whisky,https://bcazowundzyzesxxddnr.supabase.co/storage/v1/object/public/bottles/expressions/glenfiddich-15-years-old-distillery-edition-single-malt-scotch-whisky-5010327325224.jpg,
glenfiddich-12-standard,Glenfiddich,Glenfiddich 12 Year Old,https://bcazowundzyzesxxddnr.supabase.co/storage/v1/object/public/bottles/expressions/glenfiddich-15-years-old-distillery-edition-single-malt-scotch-whisky-5010327325224.jpg,
glenfiddich-glenfiddich-12-year-old,Glenfiddich,Glenfiddich 12 Year Old,https://bcazowundzyzesxxddnr.supabase.co/storage/v1/object/public/bottles/expressions/glenfiddich-glenfiddich-12-year-old.jpg,
glenfiddich-15-solera,Glenfiddich,Glenfiddich 15 Year Old Solera,https://bcazowundzyzesxxddnr.supabase.co/storage/v1/object/public/bottles/expressions/glenfiddich-15-years-old-distillery-edition-single-malt-scotch-whisky-5010327325224.jpg,
glenfiddich-glenfiddich-15-year-old-solera,Glenfiddich,Glenfiddich 15 Year Old Solera,https://bcazowundzyzesxxddnr.supabase.co/storage/v1/object/public/bottles/expressions/glenfiddich-15-years-old-distillery-edition-single-malt-scotch-whisky-5010327325224.jpg,
glenfiddich-glenfiddich-18-year-old,Glenfiddich,Glenfiddich 18 Year Old,https://bcazowundzyzesxxddnr.supabase.co/storage/v1/object/public/bottles/expressions/glenfiddich-15-years-old-distillery-edition-single-malt-scotch-whisky-5010327325224.jpg,
glenfiddich-18-standard,Glenfiddich,Glenfiddich 18 Year Old,https://bcazowundzyzesxxddnr.supabase.co/storage/v1/object/public/bottles/expressions/glenfiddich-18-standard.jpg,
glenfiddich-glenfiddich-21-year-old-gran-reserva,Glenfiddich,Glenfiddich 21 Year Old Gran Reserva,https://bcazowundzyzesxxddnr.supabase.co/storage/v1/object/public/bottles/expressions/glenfiddich-15-years-old-distillery-edition-single-malt-scotch-whisky-5010327325224.jpg,
glenfiddich-21-gran-reserva,Glenfiddich,Glenfiddich 21 Year Old Gran Reserva,https://bcazowundzyzesxxddnr.supabase.co/storage/v1/object/public/bottles/expressions/glenfiddich-21-gran-reserva.jpg,
glenfiddich-glenfiddich-barrel-reserve-14-5010327324333,Glenfiddich,Glenfiddich Barrel Reserve 14,https://bcazowundzyzesxxddnr.supabase.co/storage/v1/object/public/bottles/expressions/glenfiddich-15-years-old-distillery-edition-single-malt-scotch-whisky-5010327325224.jpg,
glenfiddich-glenfiddich-whisky-12-years-4008958201773,Glenfiddich,Glenfiddich Whisky 12 Years,https://bcazowundzyzesxxddnr.supabase.co/storage/v1/object/public/bottles/expressions/glenfiddich-15-years-old-distillery-edition-single-malt-scotch-whisky-5010327325224.jpg,
single-malt-scotch-18-years-5010327325804,Glenfiddich,Single malt scotch 18 years,https://bcazowundzyzesxxddnr.supabase.co/storage/v1/object/public/bottles/expressions/glenfiddich-15-years-old-distillery-edition-single-malt-scotch-whisky-5010327325224.jpg,
glenfiddich-single-malt-scotch-18-years-5010327325804,Glenfiddich,Single malt scotch 18 years,https://bcazowundzyzesxxddnr.supabase.co/storage/v1/object/public/bottles/expressions/glenfiddich-15-years-old-distillery-edition-single-malt-scotch-whisky-5010327325224.jpg,
glenkinchie-glenkinchie-12-5000281021935,Glenkinchie,Glenkinchie 12,,
glenlivet-12-standard,Glenlivet,The Glenlivet 12 Year Old,https://bcazowundzyzesxxddnr.supabase.co/storage/v1/object/public/bottles/expressions/glenlivet-18-standard.jpg,
